"RegionName","City","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,1950,1825,1800,1625,1550,1600,1650,1800,1800,1700,1795,1550,1572.5,1647.5,1650,1650,1700,1850,1775,1725,1800,1800,1750,1650,1750,1750,1797.5,1750,1800,1820,1900,1795,1700,1850,1895,1995,1992.5,1950,2000,1897.5,1822.5,1850,1900,1887.5,1892.5,1895,1850,2000,2000
"Bedford Stuyvesant","New York","NY","New York","Kings",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,3995,3600,4000,4225,4195,4195,4000,4100,4500,4200,4200,4200,4000,3925,4125,3899
"Bushwick","New York","NY","New York","Kings",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3997,3750,3950,4000,3850,3850,3850,3850,3200,3500,3995,3999,3795,4000,4100,4100,4200,4247.5,4300,4218
"Jamaica Plain","Boston","MA","Boston","Suffolk",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3950,4050,3800,3800,3725,3500,3500,3350,3000,3200,3400,3500
"Brighton","Boston","MA","Boston","Suffolk",5,2725,2850,2950,2925,3000,2995,3200,3200,3000,3050,3050,3200,3400,3500,3400,3200,3200,3500,3500,3500,3500,3700,3500,3500,3500,3500,3600,3500,3500,3500,3600,3600,3799,3825,3750,3750,3800,3750,3700,3650,3650,3800,4000,3800,3800,3800,3900,3800,3900,3950,3947.5,3800,3800,3900,3800,3900,3900,3800
"Corona Valley","Eastvale","CA","Riverside","Riverside",6,,,,,,,,,,,,,,,2450,2474.5,2500,2500,2495,2495,2450,2400,2400,2400,2400,2400,2400,2490,2450,2496.5,2450,2400,2450,2490,2492.5,2450,2475,2495,2500,2500,2497.5,2450,2450,2450,2500,2480,2495,2550,2550,2600,2600,2600,2600,2600,2545,2600,2600,2575
"Allston","Boston","MA","Boston","Suffolk",7,,,,,,,,,3950,3999,3800,3800,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4100,4000,4000,4000,4000,4000,3975,4000,4000,3900,4000,4200,4050,4150,4200,4000,4000,4000,4000,3995,4050,4000,4200,4275,4275,4200,4050,4000,4000,3900,3985,4000,4000,4300,4400,4400
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2750,2700,2750,2750,2750,2575,2400,2500,2500,2400,2750,2800,2875,2880,2812.5,2800,2775,2750,2725,2600,2600,3000,3000,2862.5,2850
"Mission Hill","Boston","MA","Boston","Suffolk",9,,,,,,,,,,4400,4225,4300,4600,4550,4600,4500,4500,4500,4600,4600,4800,4800,4800,4800,4800,4800,4800,4800,4800,4875,4950,5000,5000,5000,4950,5000,5000,5000,4895,4675,4750,4800,4800,4875,5000,4850,4900,4800,4850,4800,4612.5,4550,4500,4600,4800,4775,5000,5000
